Node1,Node2
RJ_Nagaur,RJ_Sikar
RJ_Pali,RJ_Rajsamand
RJ_Pali,RJ_Sirohi
RJ_Pali,RJ_Udaipur
RJ_Pratapgarh,RJ_Udaipur
RJ_Rajsamand,RJ_Udaipur
RJ_Sawai Madhopur,RJ_Tonk
RJ_Sirohi,RJ_Udaipur
SK_East Sikkim,SK_North Sikkim
SK_East Sikkim,SK_South Sikkim
SK_East Sikkim,WB_Kalimpong
SK_North Sikkim,SK_South Sikkim
SK_North Sikkim,SK_West Sikkim
SK_South Sikkim,SK_West Sikkim
SK_South Sikkim,WB_Darjeeling
SK_South Sikkim,WB_Kalimpong
SK_West Sikkim,WB_Darjeeling
TG_Adilabad,TG_Komaram Bheem
TG_Adilabad,TG_Nirmal
TG_Bhadradri Kothagudem,TG_Khammam
TG_Bhadradri Kothagudem,TG_Mahabubabad
TG_Bhadradri Kothagudem,TG_Mulugu
TG_Hyderabad,TG_Medchal Malkajgiri
TG_Hyderabad,TG_Ranga Reddy
TG_Jagtial,TG_Karimnagar
TG_Jagtial,TG_Mancherial
TG_Jagtial,TG_Nirmal
TG_Jagtial,TG_Nizamabad
TG_Jagtial,TG_Peddapalli
TG_Jagtial,TG_Rajanna Sircilla
TG_Jangaon,TG_Mahabubabad
TG_Jangaon,TG_Siddipet
TG_Jangaon,TG_Suryapet
TG_Jangaon,TG_Warangal Rural
TG_Jangaon,TG_Warangal Urban
TG_Jangaon,TG_Yadadri Bhuvanagiri
TG_Jayashankar Bhupalapally,TG_Karimnagar
TG_Jayashankar Bhupalapally,TG_Mancherial
TG_Jayashankar Bhupalapally,TG_Mulugu
TG_Jayashankar Bhupalapally,TG_Peddapalli
TG_Jayashankar Bhupalapally,TG_Warangal Rural
TG_Jayashankar Bhupalapally,TG_Warangal Urban
TG_Jogulamba Gadwal,TG_Narayanpet
TG_Jogulamba Gadwal,TG_Wanaparthy
TG_Kamareddy,TG_Medak
TG_Kamareddy,TG_Nizamabad
TG_Kamareddy,TG_Rajanna Sircilla
TG_Kamareddy,TG_Sangareddy
TG_Kamareddy,TG_Siddipet
TG_Karimnagar,TG_Peddapalli
TG_Karimnagar,TG_Rajanna Sircilla
TG_Karimnagar,TG_Siddipet
TG_Karimnagar,TG_Warangal Urban
TG_Khammam,TG_Mahabubabad
TG_Khammam,TG_Suryapet
TG_Komaram Bheem,TG_Mancherial
TG_Komaram Bheem,TG_Nirmal
TG_Mahabubabad,TG_Mulugu
TG_Mahabubabad,TG_Suryapet
TG_Mahabubabad,TG_Warangal Rural
TG_Mahabubnagar,TG_Nagarkurnool
TG_Mahabubnagar,TG_Narayanpet
TG_Mahabubnagar,TG_Ranga Reddy
TG_Mahabubnagar,TG_Vikarabad
TG_Mahabubnagar,TG_Wanaparthy
TG_Mancherial,TG_Nirmal
TG_Mancherial,TG_Peddapalli
TG_Medak,TG_Medchal Malkajgiri
TG_Medak,TG_Sangareddy
TG_Medak,TG_Siddipet
TG_Medchal Malkajgiri,TG_Ranga Reddy
TG_Medchal Malkajgiri,TG_Sangareddy
TG_Medchal Malkajgiri,TG_Siddipet
TG_Medchal Malkajgiri,TG_Yadadri Bhuvanagiri
TG_Mulugu,TG_Warangal Rural
TG_Nagarkurnool,TG_Nalgonda
TG_Nagarkurnool,TG_Ranga Reddy
TG_Nagarkurnool,TG_Wanaparthy
TG_Nalgonda,TG_Ranga Reddy
TG_Nalgonda,TG_Suryapet
TG_Nalgonda,TG_Yadadri Bhuvanagiri
TG_Narayanpet,TG_Vikarabad
TG_Narayanpet,TG_Wanaparthy
TG_Nirmal,TG_Nizamabad
TG_Nizamabad,TG_Rajanna Sircilla
TG_Rajanna Sircilla,TG_Siddipet
TG_Ranga Reddy,TG_Sangareddy
TG_Ranga Reddy,TG_Vikarabad
TG_Ranga Reddy,TG_Yadadri Bhuvanagiri
TG_Sangareddy,TG_Vikarabad
TG_Siddipet,TG_Warangal Urban
TG_Siddipet,TG_Yadadri Bhuvanagiri
TG_Suryapet,TG_Yadadri Bhuvanagiri
TG_Warangal Rural,TG_Warangal Urban
TN_Ariyalur,TN_Cuddalore
TN_Ariyalur,TN_Perambalur
TN_Ariyalur,TN_Thanjavur
TN_Ariyalur,TN_Tiruchirappalli
TN_Chennai,TN_Kancheepuram
TN_Chennai,TN_Thiruvallur
TN_Coimbatore,TN_Erode
TN_Coimbatore,TN_Nilgiris
TN_Coimbatore,TN_Tiruppur
TN_Cuddalore,TN_Kallakurichi
TN_Cuddalore,TN_Nagapattinam
TN_Cuddalore,TN_Perambalur
TN_Cuddalore,TN_Thanjavur
TN_Cuddalore,TN_Viluppuram
TN_Dharmapuri,TN_Erode
TN_Dharmapuri,TN_Kallakurichi
TN_Dharmapuri,TN_Krishnagiri
TN_Dharmapuri,TN_Salem
TN_Dharmapuri,TN_Tiruvannamalai
TN_Dindigul,TN_Karur
TN_Dindigul,TN_Madurai
TN_Dindigul,TN_Theni
TN_Dindigul,TN_Tiruchirappalli
TN_Dindigul,TN_Tiruppur
TN_Erode,TN_Karur
TN_Erode,TN_Namakkal
TN_Erode,TN_Nilgiris
TN_Erode,TN_Salem
TN_Erode,TN_Tiruppur
TN_Kallakurichi,TN_Perambalur
TN_Kallakurichi,TN_Salem
TN_Kallakurichi,TN_Tiruvannamalai
TN_Kallakurichi,TN_Viluppuram
TN_Kancheepuram,TN_Thiruvallur
TN_Kancheepuram,TN_Tiruvannamalai
TN_Kancheepuram,TN_Vellore
TN_Kancheepuram,TN_Viluppuram
TN_Kanyakumari,TN_Tirunelveli
TN_Karur,TN_Namakkal
TN_Karur,TN_Tiruchirappalli
TN_Karur,TN_Tiruppur
TN_Krishnagiri,TN_Tiruvannamalai
TN_Krishnagiri,TN_Vellore
TN_Madurai,TN_Sivaganga
TN_Madurai,TN_Theni
TN_Madurai,TN_Tiruchirappalli
TN_Madurai,TN_Virudhunagar
TN_Nagapattinam,TN_Thanjavur
TN_Nagapattinam,TN_Thiruvarur
TN_Namakkal,TN_Salem
TN_Namakkal,TN_Tiruchirappalli
TN_Perambalur,TN_Salem
TN_Perambalur,TN_Tiruchirappalli
TN_Pudukkottai,TN_Ramanathapuram
TN_Pudukkottai,TN_Sivaganga
TN_Pudukkottai,TN_Thanjavur
TN_Pudukkottai,TN_Tiruchirappalli
TN_Ramanathapuram,TN_Sivaganga
TN_Ramanathapuram,TN_Thoothukkudi
TN_Ramanathapuram,TN_Virudhunagar
TN_Salem,TN_Tiruchirappalli
TN_Sivaganga,TN_Tiruchirappalli
TN_Sivaganga,TN_Virudhunagar
TN_Thanjavur,TN_Thiruvarur
TN_Thanjavur,TN_Tiruchirappalli
TN_Theni,TN_Virudhunagar
TN_Thiruvallur,TN_Vellore
TN_Thoothukkudi,TN_Tirunelveli
TN_Thoothukkudi,TN_Virudhunagar
TN_Tirunelveli,TN_Virudhunagar
TN_Tiruvannamalai,TN_Vellore
TN_Tiruvannamalai,TN_Viluppuram
TR_Dhalai,TR_Gomati
TR_Dhalai,TR_Khowai
TR_Dhalai,TR_North Tripura
TR_Dhalai,TR_Unokoti
TR_Gomati,TR_Khowai
TR_Gomati,TR_Sipahijala
TR_Gomati,TR_South Tripura
TR_Khowai,TR_Sipahijala
TR_Khowai,TR_West Tripura
TR_North Tripura,TR_Unokoti
TR_Sipahijala,TR_South Tripura
TR_Sipahijala,TR_West Tripura
UP_Agra,UP_Etah
UP_Agra,UP_Etawah
UP_Agra,UP_Firozabad
UP_Agra,UP_Hathras
UP_Agra,UP_Mathura
UP_Aligarh,UP_Budaun
UP_Aligarh,UP_Bulandshahr
UP_Aligarh,UP_Gautam Buddha Nagar
UP_Aligarh,UP_Hathras
UP_Aligarh,UP_Kasganj
UP_Aligarh,UP_Mathura
UP_Aligarh,UP_Sambhal
UP_Ambedkar Nagar,UP_Ayodhya
UP_Ambedkar Nagar,UP_Azamgarh
UP_Ambedkar Nagar,UP_Basti
UP_Ambedkar Nagar,UP_Gorakhpur
UP_Ambedkar Nagar,UP_Sant Kabir Nagar
UP_Ambedkar Nagar,UP_Sultanpur
UP_Amethi,UP_Ayodhya
UP_Amethi,UP_Barabanki
UP_Amethi,UP_Pratapgarh
UP_Amethi,UP_Rae Bareli
UP_Amethi,UP_Sultanpur
UP_Amroha,UP_Bijnor
UP_Amroha,UP_Bulandshahr
UP_Amroha,UP_Hapur
UP_Amroha,UP_Meerut
UP_Amroha,UP_Moradabad
UP_Amroha,UP_Sambhal
UP_Auraiya,UP_Etawah
UP_Auraiya,UP_Jalaun
UP_Auraiya,UP_Kannauj
UP_Auraiya,UP_Kanpur Dehat
UP_Ayodhya,UP_Barabanki
UP_Ayodhya,UP_Basti
UP_Ayodhya,UP_Gonda
UP_Ayodhya,UP_Sultanpur
UP_Azamgarh,UP_Ghazipur
UP_Azamgarh,UP_Gorakhpur
UP_Azamgarh,UP_Jaunpur
UP_Azamgarh,UP_Mau
UP_Azamgarh,UP_Sultanpur
UP_Baghpat,UP_Ghaziabad
UP_Baghpat,UP_Meerut
UP_Baghpat,UP_Muzaffarnagar
UP_Baghpat,UP_Shamli
UP_Bahraich,UP_Barabanki
UP_Bahraich,UP_Gonda
UP_Bahraich,UP_Shrawasti
UP_Bahraich,UP_Sitapur
UP_Ballia,UP_Deoria
UP_Ballia,UP_Ghazipur
UP_Ballia,UP_Mau
UP_Balrampur,UP_Gonda
UP_Balrampur,UP_Shrawasti
UP_Balrampur,UP_Siddharthnagar
UP_Banda,UP_Chitrakoot
UP_Banda,UP_Fatehpur
UP_Banda,UP_Hamirpur
UP_Banda,UP_Mahoba
UP_Barabanki,UP_Gonda
UP_Barabanki,UP_Lucknow
UP_Barabanki,UP_Rae Bareli
UP_Barabanki,UP_Sitapur
UP_Bareilly,UP_Budaun
UP_Bareilly,UP_Pilibhit
UP_Bareilly,UP_Rampur
UP_Bareilly,UP_Shahjahanpur
UP_Bareilly,UT_Udham Singh Nagar
UP_Basti,UP_Gonda
UP_Basti,UP_Sant Kabir Nagar
UP_Basti,UP_Siddharthnagar
UP_Bhadohi,UP_Jaunpur
UP_Bhadohi,UP_Mirzapur
UP_Bhadohi,UP_Prayagraj
UP_Bhadohi,UP_Varanasi
UP_Bijnor,UP_Meerut
UP_Bijnor,UP_Moradabad
UP_Bijnor,UP_Muzaffarnagar
UP_Bijnor,UT_Haridwar
UP_Bijnor,UT_Nainital
UP_Bijnor,UT_Pauri Garhwal
UP_Bijnor,UT_Udham Singh Nagar
UP_Budaun,UP_Farrukhabad
UP_Budaun,UP_Kasganj
UP_Budaun,UP_Moradabad
UP_Budaun,UP_Rampur
UP_Budaun,UP_Sambhal
UP_Budaun,UP_Shahjahanpur
UP_Bulandshahr,UP_Gautam Buddha Nagar
UP_Bulandshahr,UP_Hapur
UP_Bulandshahr,UP_Sambhal
UP_Chandauli,UP_Ghazipur
UP_Chandauli,UP_Mirzapur
UP_Chandauli,UP_Sonbhadra
UP_Chandauli,UP_Varanasi
UP_Chitrakoot,UP_Fatehpur
UP_Chitrakoot,UP_Kaushambi
UP_Chitrakoot,UP_Prayagraj
UP_Deoria,UP_Gorakhpur
UP_Deoria,UP_Kushinagar
UP_Deoria,UP_Mau
UP_Etah,UP_Farrukhabad
UP_Etah,UP_Firozabad
UP_Etah,UP_Hathras
UP_Etah,UP_Kasganj
UP_Etah,UP_Mainpuri
UP_Etawah,UP_Firozabad
UP_Etawah,UP_Jalaun
UP_Etawah,UP_Kannauj
UP_Etawah,UP_Mainpuri
UP_Farrukhabad,UP_Hardoi
UP_Farrukhabad,UP_Kannauj
UP_Farrukhabad,UP_Kasganj
UP_Farrukhabad,UP_Mainpuri
UP_Farrukhabad,UP_Shahjahanpur
UP_Fatehpur,UP_Hamirpur
UP_Fatehpur,UP_Kanpur Nagar
UP_Fatehpur,UP_Kaushambi
UP_Fatehpur,UP_Pratapgarh
UP_Fatehpur,UP_Rae Bareli
UP_Fatehpur,UP_Unnao
UP_Firozabad,UP_Mainpuri
UP_Gautam Buddha Nagar,UP_Ghaziabad
UP_Gautam Buddha Nagar,UP_Hapur
UP_Ghaziabad,UP_Hapur
UP_Ghaziabad,UP_Meerut
UP_Ghazipur,UP_Jaunpur
UP_Ghazipur,UP_Mau
UP_Ghazipur,UP_Varanasi
UP_Gonda,UP_Shrawasti
UP_Gonda,UP_Siddharthnagar
UP_Gorakhpur,UP_Kushinagar
UP_Gorakhpur,UP_Maharajganj
UP_Gorakhpur,UP_Mau
UP_Gorakhpur,UP_Sant Kabir Nagar
UP_Gorakhpur,UP_Siddharthnagar
UP_Hamirpur,UP_Jalaun
UP_Hamirpur,UP_Jhansi
UP_Hamirpur,UP_Kanpur Dehat
UP_Hamirpur,UP_Kanpur Nagar
UP_Hamirpur,UP_Mahoba
UP_Hapur,UP_Meerut
UP_Hardoi,UP_Kannauj
UP_Hardoi,UP_Kanpur Nagar
UP_Hardoi,UP_Lucknow
UP_Hardoi,UP_Shahjahanpur
UP_Hardoi,UP_Sitapur
UP_Hardoi,UP_Unnao
UP_Hathras,UP_Kasganj
UP_Hathras,UP_Mathura
UP_Jalaun,UP_Jhansi
UP_Jalaun,UP_Kanpur Dehat
UP_Jaunpur,UP_Pratapgarh
UP_Jaunpur,UP_Prayagraj
UP_Jaunpur,UP_Sultanpur
UP_Jaunpur,UP_Varanasi
UP_Jhansi,UP_Lalitpur
UP_Jhansi,UP_Mahoba
UP_Kannauj,UP_Kanpur Dehat
UP_Kannauj,UP_Kanpur Nagar
UP_Kannauj,UP_Mainpuri
UP_Kanpur Dehat,UP_Kanpur Nagar
UP_Kanpur Nagar,UP_Unnao
UP_Kaushambi,UP_Pratapgarh
UP_Kaushambi,UP_Prayagraj
UP_Kaushambi,UP_Rae Bareli
UP_Kushinagar,UP_Maharajganj
UP_Lucknow,UP_Rae Bareli
UP_Lucknow,UP_Sitapur
UP_Lucknow,UP_Unnao
UP_Maharajganj,UP_Siddharthnagar
UP_Meerut,UP_Muzaffarnagar
UP_Mirzapur,UP_Prayagraj
UP_Mirzapur,UP_Sonbhadra
UP_Mirzapur,UP_Varanasi
UP_Moradabad,UP_Rampur
UP_Moradabad,UP_Sambhal
UP_Moradabad,UT_Udham Singh Nagar
UP_Muzaffarnagar,UP_Saharanpur
UP_Muzaffarnagar,UP_Shamli
UP_Muzaffarnagar,UT_Haridwar
UP_Pilibhit,UP_Shahjahanpur
UP_Pilibhit,UT_Udham Singh Nagar
UP_Pratapgarh,UP_Prayagraj
UP_Pratapgarh,UP_Rae Bareli
UP_Pratapgarh,UP_Sultanpur
UP_Rae Bareli,UP_Unnao
UP_Rampur,UT_Udham Singh Nagar
UP_Saharanpur,UP_Shamli
UP_Saharanpur,UT_Dehradun
UP_Saharanpur,UT_Haridwar
UP_Sant Kabir Nagar,UP_Siddharthnagar
UT_Almora,UT_Bageshwar
UT_Almora,UT_Chamoli
UT_Almora,UT_Champawat
UT_Almora,UT_Nainital
UT_Almora,UT_Pauri Garhwal
UT_Almora,UT_Pithoragarh
UT_Bageshwar,UT_Chamoli
UT_Bageshwar,UT_Pithoragarh
UT_Chamoli,UT_Pauri Garhwal
UT_Chamoli,UT_Pithoragarh
UT_Chamoli,UT_Rudraprayag
UT_Chamoli,UT_Uttarkashi
UT_Champawat,UT_Nainital
UT_Champawat,UT_Pithoragarh
UT_Champawat,UT_Udham Singh Nagar
UT_Dehradun,UT_Haridwar
UT_Dehradun,UT_Pauri Garhwal
UT_Dehradun,UT_Tehri Garhwal
UT_Dehradun,UT_Uttarkashi
UT_Haridwar,UT_Pauri Garhwal
UT_Nainital,UT_Pauri Garhwal
UT_Nainital,UT_Udham Singh Nagar
UT_Pauri Garhwal,UT_Rudraprayag
UT_Pauri Garhwal,UT_Tehri Garhwal
UT_Rudraprayag,UT_Tehri Garhwal
UT_Rudraprayag,UT_Uttarkashi
UT_Tehri Garhwal,UT_Uttarkashi
WB_Alipurduar,WB_Cooch Behar
WB_Alipurduar,WB_Jalpaiguri
WB_Bankura,WB_Hooghly
WB_Bankura,WB_Jhargram
WB_Bankura,WB_Paschim Bardhaman
WB_Bankura,WB_Paschim Medinipur
WB_Bankura,WB_Purba Bardhaman
WB_Bankura,WB_Purulia
WB_Birbhum,WB_Murshidabad
WB_Birbhum,WB_Paschim Bardhaman
WB_Birbhum,WB_Purba Bardhaman
WB_Cooch Behar,WB_Jalpaiguri
WB_Dakshin Dinajpur,WB_Malda
WB_Dakshin Dinajpur,WB_Uttar Dinajpur
WB_Darjeeling,WB_Jalpaiguri
WB_Darjeeling,WB_Kalimpong
WB_Darjeeling,WB_Uttar Dinajpur
WB_Hooghly,WB_Howrah
WB_Hooghly,WB_Nadia
WB_Hooghly,WB_North 24 Parganas
WB_Hooghly,WB_Paschim Medinipur
WB_Hooghly,WB_Purba Bardhaman
WB_Howrah,WB_Kolkata
WB_Howrah,WB_North 24 Parganas
WB_Howrah,WB_Paschim Medinipur
WB_Howrah,WB_Purba Medinipur
WB_Howrah,WB_South 24 Parganas
WB_Jalpaiguri,WB_Kalimpong
WB_Jhargram,WB_Paschim Medinipur
WB_Jhargram,WB_Purulia
WB_Kolkata,WB_North 24 Parganas
WB_Kolkata,WB_South 24 Parganas
WB_Malda,WB_Murshidabad
WB_Malda,WB_Uttar Dinajpur
WB_Murshidabad,WB_Nadia
WB_Murshidabad,WB_Purba Bardhaman
WB_Nadia,WB_North 24 Parganas
WB_Nadia,WB_Purba Bardhaman
WB_North 24 Parganas,WB_South 24 Parganas
WB_Paschim Bardhaman,WB_Purba Bardhaman
WB_Paschim Bardhaman,WB_Purulia
WB_Paschim Medinipur,WB_Purba Medinipur
WB_Purba Medinipur,WB_South 24 Parganas
